seed = 0x5e11d468 = 1578226792 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x5ef64544 = 1593197892 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x600a33e2 = 1611281378 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x61d36acd = 1641245389 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6058c5d2 = 1616430546 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6292b994 = 1653782932 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x63193be4 = 1662598116 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x63a30d3b = 1671630139 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x62b89705 = 1656264453 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x62623524 = 1650603300 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x652424cb = 1696867531 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x64bc8897 = 1690077335 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x644ec19e = 1682882974 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x647a3dcf = 1685732815 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x68202fb5 = 1746939829 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6832fc7a = 1748171898 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x69e4a295 = 1776591509 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6bec8040 = 1810661440 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6e9db361 = 1855828833 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x6f7aefe5 = 1870327781 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x71d03acd = 1909471949 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7169b33f = 1902752575 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7178f83b = 1903753275 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x72829230 = 1921159728 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7222762b = 1914861099 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x72b57fbf = 1924497343 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x723cea5d = 1916594781 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x72c9ee10 = 1925836304 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x74cf86dd = 1959757533 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x74dff41b = 1960834075 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x745d4125 = 1952268581 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7463a761 = 1952687969 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7567d605 = 1969739269 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x77a2283d = 2007115837 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x77268161 = 1999012193 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x763c0087 = 1983643783 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x79cf7586 = 2043639174 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7a8f79cb = 2056223179 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7d9fa327 = 2107613991 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7c248706 = 2082768646 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7cbe14d2 = 2092831954 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x7ee6f03d = 2129063997 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x80e414e4 = 2162431204 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8339a555 = 2201593173 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x83c578c1 = 2210756801 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x825afc3e = 2187000894 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x82652d4b = 2187668811 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x836d3611 = 2204972561 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x899f0d25 = 2308902181 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x88fd3c9e = 2298297502 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8b6a3b61 = 2338995041 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8aef3c6e = 2330934382 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8c08abd5 = 2349378517 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8c9aa300 = 2358944512 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8caefcdc = 2360278236 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8db2a0fb = 2377294075 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8c522ce6 = 2354195686 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8f51bc96 = 2404498582 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x8e639c34 = 2388892724 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x91ed122f = 2448233007 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x929f0c6b = 2459896939 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x92bc0647 = 2461795911 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9272742d = 2456974381 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x940cedb0 = 2483875248 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9438b89b = 2486745243 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x95534821 = 2505263137 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x95eeabf2 = 2515446770 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x97bb6bb5 = 2545642421 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x96ef532a = 2532266794 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9955b136 = 2572529974 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x99d85a52 = 2581092946 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x98612e98 = 2556505752 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9b4a6a03 = 2605345283 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9b52de7d = 2605899389 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9da55aab = 2644859563 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9cdfdf0c = 2631917324 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9d76b36b = 2641802091 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9fcb1da4 = 2680888740 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9fe762a1 = 2682741409 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9ee7f32f = 2666001199 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0x9efe4814 = 2667464724 (PHP 5.2.1 to 7.0.x; HHVM)
seed = 0xa185576d = 2709870445 (PHP 5.2.1 to 7.0.x; HHVM)
